,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
486,Broken Hill,-31.97,141.45,50,76,0,9.17
487,Rafaela,-31.25,-61.49,82.99,68,76,3
488,Husavik,50.56,-96.99,35.01,94,100,5.08
489,Santa Lucia,41.98,12.66,66.2,93,75,14.99
490,Salym,60.06,71.48,10.92,96,24,3.58
491,Patawag,8.11,122.62,74.16,92,70,3.15
492,Vila,45.18,8.4,52,100,40,5.82
493,Numata,36.65,139.04,48.99,78,0,5.01
494,Taoudenni,22.68,-3.98,80.51,25,0,9.82
495,Patrasaer,23.2,87.53,69.8,94,0,2.24
496,Aracaju,-10.92,-37.08,82.4,69,40,13.87
497,Nushki,29.55,66.02,63.48,30,0,0.92
498,Skibbereen,51.55,-9.27,42.8,93,20,8.05
499,Homer,59.64,-151.54,42.8,87,90,6.53
500,College,64.86,-147.8,19,100,90,0.76
501,Rauma,61.13,21.5,23,100,100,1.12
502,Dashitou,43.3,128.5,22.17,39,0,0.25
503,Tarakan,3.3,117.63,77.05,90,100,13.6
504,Balabac,7.99,117.06,81.45,78,14,13.24
505,Port Blair,11.67,92.75,82.47,76,95,14.83
506,Liaocheng,36.44,115.96,43.92,54,0,7.11
507,Poptun,16.33,-89.42,80.33,73,3,3.22
508,Presidencia Roque Saenz Pena,-26.79,-60.44,81.81,66,95,9.19
509,Marfino,56.07,37.56,41,93,90,13.42
510,Sechura,-5.56,-80.82,64.24,90,43,18.21
511,Meulaboh,4.14,96.13,78.1,78,62,7.81
512,Potenza,40.64,15.8,51.8,87,90,12.75
513,Zavyalovo,54.51,82.45,23,79,100,2.24
514,Flagstaff,35.2,-111.65,75.99,8,1,12.59
515,Arandis,-22.42,14.98,84.27,10,32,15.82
516,Viransehir,37.24,39.76,56.68,38,0,7.58
517,Kruisfontein,-34,24.73,54.41,87,46,5.21
518,Jeremie,18.65,-74.12,76.05,82,69,2.06
519,Tautira,-17.73,-149.15,86,74,20,12.75
520,Ishigaki,24.34,124.16,77.04,77,100,26.91
521,Palmer,-34.85,139.16,57.99,67,20,17.22
522,Cananeia,-25.01,-47.93,73.42,97,70,9.04
523,Juneau,58.3,-134.42,44.6,93,90,5.82
524,Sipe Sipe,-17.45,-66.36,82.4,14,40,9.17
525,Nyurba,63.29,118.35,10.45,91,0,7.18
526,Puerto Madryn,-42.77,-65.04,77.45,18,73,27.4
527,Rundu,-17.91,19.77,78.21,50,87,6.85
528,Sola,-3.17,33.8,73.67,33,80,7.43
529,Ramon,16.78,121.54,72.68,93,20,1.14
530,Peabiru,-23.91,-52.35,95,34,20,9.17
531,Etaples,50.52,1.63,53.6,81,20,5.82
532,Carballo,43.21,-8.69,63,93,75,16.11
533,Kotdwara,29.75,78.53,66.76,64,0,5.26
534,Alvorada,-30,-51.08,71.6,68,75,5.82
535,Bintulu,3.17,113.03,75.2,94,75,5.82
536,Ariquemes,-9.91,-63.03,81.95,64,92,0.78
537,Cervo,-22.19,-46.24,82.4,37,20,3.29
538,Arenapolis,-14.45,-56.85,90.57,43,95,4.03
539,Bani Walid,31.76,14,69.31,40,4,3.49
540,Ubon Ratchathani,15.23,104.86,75.99,88,51,4.7
541,Pointe Michel,15.25,-61.38,86,70,40,10.29
542,Agadez,16.97,7.99,84.47,12,0,10.69
543,Taonan,45.34,122.78,28.29,33,0,8.37
544,Houston,29.76,-95.37,71.01,35,1,7.58
545,Kumluca,36.37,30.29,60.71,79,63,2.91
546,Mali,27.53,102.2,48.07,93,68,0.69
547,Tupancireta,-29.08,-53.84,68.99,93,100,10.56
548,Dunedin,-45.87,170.5,55.65,77,33,1.36
549,Moerai,-22.43,-151.33,70.97,67,100,22.93
